sito_pers_1,cognome_nome,twitter_1,sigla_partito,facebook_1,id_deputato
,GRIMOLDI Paolo,,LEGA,https://www.facebook.com/grimoldi.paolo,301455
,GRIMALDI Nicola,,M5S,,307528
http://chiaragribaudo.com/,GRIBAUDO Chiara,https://twitter.com/chiaragribaudo,PD,https://www.facebook.com/chiara.gribaudo,306008
http://www.Giuliagrillo.it,GRILLO Giulia,https://www.twitter.com/giuliagrillom5s,M5S,https://www.facebook.com/GiuliaGrilloM5S,306071
,GOBBATO Claudia,,LEGA,,307653
,GOLINELLI Guglielmo,,LEGA,https://www.facebook.com/GuglielmoGolinelliLega,307314
,GIULIODORI Paolo,,M5S,https://www.facebook.com/paologiuliodoriM5SMarche/,307177
http://martagrande.it,GRANDE Marta,https://twitter.com/martagrande87,M5S,https://www.facebook.com/Martagrand.it,305784
,GIULIANO Carla,,M5S,,307370
,GIORGIS Andrea,,PD,,305567
,GIORDANO Conny,,M5S,,307198
,GIORGETTI Giancarlo,,LEGA,,50115
,GIARRIZZO Andrea,,M5S,https://www.facebook.com/andreagiarrizzo1992,307121
,GIGLIO VIGNA Alessandro,,LEGA,https://www.facebook.com/alessandro.gigliovigna,307502
,GIACOMONI Sestino,,FI,https://www.facebook.com/sestino.giacomoni,301533
http://www.carlogiacometto.com,GIACOMETTO Carlo,https://twitter.com/carlogiacometto,FI,https://www.facebook.com/CarloGiacometto,307473
,GIANNONE Veronica,https://twitter.com/Giannone_M5S,M5S,https://it-it.facebook.com/VeronicaGiannoneM5S/,307342
,GIACOMETTI Antonietta,,LEGA,,307569
http://robertogiachetti.it,GIACHETTI Roberto,,PD,,300480
,GIACOMELLI Antonello,,PD,,301056
,GERARDI Francesca,,LEGA,,307477
http://www.ninogermana.it,GERMANA' Antonino,,FI,https://www.facebook.com/nino.germanadue,302909
,GIACCONE Andrea,,LEGA,,307508
,GENTILONI SILVERI Paolo,https://twitter.com/PaoloGentiloni,PD,https://www.facebook.com/paologentiloni,300637
http://www.mariastellagelmini.it,GELMINI Mariastella,,FI,,301449
http://www.marcellogemmato.it,GEMMATO Marcello,https://twitter.com/marcellogemmato,FDI,https://www.facebook.com/FRATELLIDITALIA.PUGLIA/,307332
,GAVA Vannia,,LEGA,,307138
,GEBHARD Renate,,MISTO,,305580
http://www.davidegariglio.it,GARIGLIO Davide,https://twitter.com/davidegariglio,PD,https://www.facebook.com/davidegariglio,307504
,GASTALDI Flavio,,LEGA,https://www.facebook.com/gastaldiofficial,307509
,GARAVAGLIA Massimo,https://twitter.com/massimogara,LEGA,,302151
http://www.filippogallinella.it/,GALLINELLA Filippo,https://twitter.com/Gallinella_F,M5S,https://www.facebook.com/filippoa.gallinella.M5S,305696
http://www.galloluigi.com,GALLO Luigi,https://twitter.com/LuigiGallo15,M5S,https://www.facebook.com/luigi.galloM5S,305900
,GALLI Dario,,LEGA,,50462
,GALANTINO Davide,,M5S,,307344
,GALIZIA Francesca,,M5S,,307290
,GAGLIARDI Manuela,,FI,,307135
,GAGNARLI Chiara,https://twitter.com/chiara_201181,M5S,https://www.facebook.com/chiara.gagnarli,306096
,FUSACCHIA Alessandro,,MISTO,,307155
,FURGIUELE Domenico,,LEGA,,307718
http://www.lucafrusone.it,FRUSONE Luca,,M5S,https://www.facebook.com/lucafrusonem5s,305748
http://www.silviafregolent.it,FREGOLENT Silvia,,PD,,305569
,FRATE Flora,,M5S,,307204
,FRASSINI Rebecca,,LEGA,,307630
,FRATOIANNI Nicola,,LEU,,305880
http://www.paolafrassinetti.it,FRASSINETTI Paola,https://twitter.com/FrassinettiP,FDI,https://www.facebook.com/on.Paola.Frassinetti/,301457
,FRANCESCHINI Dario,,PD,,300246
http://www.gianmariofragomeli.it,FRAGOMELI Gian Mario,,PD,,305559
,FORNARO Federico,,LEU,,306398
,FOSCOLO Sara,,LEGA,,307131
,FRAILIS Andrea,,PD,,308080
,FOTI Tommaso,,FDI,,50204
